timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_raw_stamp,landing_pad_x_raw,landing_pad_y_raw,landing_pad_z_raw,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz,landing_pad_true_yaw
60.601,8.421051356233278e-11,0.011095777842882015,0.336,0.01,0.0,-0.8,1.5416307589646914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.7,7.509803889860223e-11,0.011095778689020758,0.421,0.0,0.0,-0.91,1.5415782863881926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.8,-8.905987058938081e-11,0.01109577833323988,0.517,0.0,0.0,-1.01,1.541523025431905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.9,-5.441228023705946e-11,0.01109577891845731,0.622,0.0,0.0,-1.12,1.5415071035411696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.003,3.800749714955032e-10,0.011095778985789673,0.738,0.0,0.0,-1.22,1.5415153513338904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.1,-1.8879675600658175e-11,0.011095779227011104,0.861,0.0,0.0,-1.32,1.5416312451150753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.2,4.264666397801875e-11,0.011095779120366689,1.0,0.0,0.0,-1.43,1.5415749988195042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.3,1.0417305906784691e-10,0.011095779393468508,1.148,0.0,0.0,-1.53,1.5416144310173134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.4,-1.9038015608430214e-10,0.01109577954378782,1.305,0.0,0.0,-1.64,1.5415955642845967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.501,-1.3393330888789023e-10,0.022191561013419903,1.475,0.0,-0.01,-1.74,1.5415843269464116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.6,-0.009089150212871377,0.022191561314698238,1.658,0.0,-0.01,-1.81,1.5415545879539592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.7,-0.009089150647817346,0.022191562714173774,1.846,0.0,-0.01,-1.85,1.541545876362596,0.0,0.0,0.0,61.612,-2.3097566580725415,0.014922718207406751,0.06761307070083866,-9.584347204771859e-17,0.0,0.0,5.551115123125783e-17,8.333162217013285e-34,0.0,1.501169050214357e-17,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.804,-0.009089150837969018,0.02219156315333748,2.039,0.0,-0.01,-1.85,1.5415444495764115,0.0,0.0,0.0,61.744,-2.0163177457532195,0.10645868774373055,0.21625250463340273,3.1084502915893304e-16,1.805409806858787e-16,0.0,6.825605840169307e-16,-3.273288767830854e-32,0.0,-4.795601803677637e-17,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.9,-0.009089151367318915,0.02219156352091267,2.23,0.0,-0.01,-1.83,1.541519965105925,0.0,0.0,0.0,61.843,-2.0177036893029525,0.10354628287598655,0.22965227124494403,-5.936632848709004e-16,7.562802182537851e-16,0.0,8.096512955056999e-16,-2.804799372167868e-32,0.0,-3.464206613065467e-17,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.001,-0.009089151479947932,0.02219156418128998,2.42,0.0,-0.01,-1.79,1.5415200954910855,0.0,0.0,0.0,61.942,-2.0183200002766597,0.10933137527611568,0.23886003217219054,-3.684632956394095e-16,2.4226968568962215e-16,0.0,3.8734424916934103e-16,-3.7518265092661104e-32,0.0,-9.686026105491162e-17,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.1,-0.00908915165321833,0.02219156505139397,2.603,0.0,-0.01,-1.74,1.541478104018841,0.0,0.0,0.0,62.074,-2.020881208613326,0.11428843686090973,0.18112506104177895,-2.011004937514482,0.037169557413627485,0.18118992668127243,0.026371779688548185,-1.2003873990299154,0.0,1.5927621839190524,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.201,-0.0181783042087168,0.022191565580544914,2.781,0.0,-0.02,-1.68,1.5415005582061152,0.0,0.0,0.0,62.173,-2.0329483800397643,0.11110542867161544,0.17290191172553548,-2.0316455817494177,0.055774404330796945,0.19159838010904906,0.013986841138909752,-0.9695500220054213,0.0,1.5852214422219293,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.302,-0.0181783052423079,0.022191566177160782,2.951,0.0,-0.02,-1.61,1.5768789942984023,0.0,0.0,0.0,62.272,-2.0433117451058616,0.0457055348279225,0.18035389822716885,-2.039860718760158,0.001271423631454307,0.19719270255107801,0.04008362209670658,-0.9016900522643764,0.0,1.6152209597846974,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.4,-0.018178305459338295,0.02219156692843982,3.111,0.0,-0.02,-1.54,1.5769635006461782,0.0,0.0,0.0,62.371,-2.0484927617445425,0.04005708396697728,0.17855525690434693,-2.046518201174605,-0.005446959274035344,0.19086488892724418,0.03087458532310918,-0.7364326850509088,0.0,1.6126963075274419,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.5,-0.01817830573701018,0.022191567129953738,3.266,0.0,-0.02,-1.47,1.5769979488712291,0.0,0.0,0.0,62.47,-2.044349485717316,0.044163018379773565,0.2069722286782536,-2.043243181065959,0.006587666858856908,0.2157453045440998,0.022540476626971902,-0.5448939579414995,0.0,1.6121394768756079,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.6,-0.018178306492044438,0.022191567628138786,3.412,0.0,-0.02,-1.4,1.5769447759401536,0.0,0.0,0.0,62.569,-2.0509554032158963,0.04913696860689933,0.19349432424970914,-2.049502913671695,0.024389352109913387,0.19711470040745116,0.010973193951150317,-0.3668017873949139,0.0,1.6007032753556965,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.7,-0.018178306352995444,0.022191568502200498,3.552,0.01,-0.02,-1.33,1.5766410050590076,0.0,0.0,0.0,62.668,-2.0797401936187714,0.038248917990804175,0.1673430751058258,-2.073564891525095,0.022706793166549166,0.18841275622460074,0.006205427598853091,-0.26150719307281,0.0,1.5945213463084964,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.802,-0.01817830707426693,0.02219156910277409,3.683,0.01,-0.02,-1.26,1.5765416361999254,0.0,0.0,0.0,62.767,-2.050292674484264,0.04411448506407263,0.21794750011869457,-2.0550044478996394,0.03208361081450295,0.22138678495643793,0.0026113042027980267,-0.14715819789570164,0.0,1.5885393421948169,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
62.9,-0.018178307160902296,0.022191569347953077,3.775,0.01,-0.02,-1.21,1.5765930419464151,-0.0006593304486410042,0.0006312448166440547,0.0009505598199644617,62.866,-2.100160569745661,0.03929745224855589,0.09900715350208067,-2.095646493817368,0.033959945519034945,0.11137067709777715,-0.00019024852327770102,-0.07479988749309004,0.0,1.56825289899824,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.001,-0.018178307516096837,0.022191569707999514,3.923,0.01,-0.02,-1.14,1.5765635688465576,0.0,0.0,0.0,62.965,-2.062425390681391,0.04667834162775205,0.21246465742387777,-2.05919210425067,0.045730619240928416,0.20989468778997677,-8.24415384858789e-06,0.0014932698337566585,0.0,1.5763171442004524,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.1,-0.027267461644959967,0.022191569994760574,4.006,0.01,-0.02,-1.09,1.576412422177617,-0.0016896095519809205,0.0020480036117378093,-0.0024136687873179178,63.064,-2.0523756836097453,0.05482436083226716,0.24653749060227348,-2.0467806110680407,0.057913951519502904,0.23947148097981197,-4.415652263571088e-05,0.06057522048786474,0.0,1.5715252802260007,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.2,-0.02726746244375433,0.022191570374120673,4.138,0.01,-0.02,-1.02,1.5765102566827576,0.0,0.0,0.0,63.163,-2.0570474929948572,0.040840104831551975,0.2373530654566003,-2.0547983807008308,0.04559694895698169,0.23548692005218896,-0.0003757814321015663,0.04796970243061588,0.0,1.5786298910334582,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.302,-0.027267462469747983,0.022191570789318993,4.235,0.01,-0.02,-0.96,1.5765034896929302,0.0,0.0,0.0,63.262,-2.098457287115817,0.03669133461100199,0.1711539722461186,-2.093764491598069,0.04004295578293182,0.18067419105817484,-0.0018343836214928463,0.056175059756562354,0.0,1.6034394966363386,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.4,-0.027267462956223065,0.022191571172637037,4.327,0.01,-0.02,-0.91,1.5764049082670848,0.0,0.0,0.0,63.361,-2.095479190929706,0.0418461769289292,0.17410126293383232,-2.0980868423690975,0.04689681918938815,0.16269174003729958,-0.0006981443494258789,0.08724595924011104,0.0,1.5787981810330955,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.502,-0.027267463442697704,0.022191571555954415,4.415,0.02,-0.02,-0.85,1.5764784822848181,0.0,0.0,0.0,63.46,-2.0923064634915436,0.03590201895732211,0.19481097889907417,-2.0870603645921424,0.0424324061077635,0.19446146089362681,0.00048246017513513327,0.08204557074353235,0.0,1.5649160018745072,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.6,-0.027267463989813834,0.022191571769253127,4.498,0.02,-0.02,-0.8,1.5764679900046923,0.0,0.0,0.0,63.559,-2.092245300862498,0.04554717242253568,0.20335407021100949,-2.0913253740815314,0.05298777510889757,0.19347933827443153,-0.002033730700501662,0.10894613996299529,0.0,1.5894614628005366,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.701,-0.02726746413709047,0.02219157184441256,4.577,0.02,-0.01,-0.75,1.576441251267914,0.0,0.0,0.0,63.658,-2.0381225273446177,0.05500392098123086,0.2692700728268047,-2.051611181077794,0.06172259489231413,0.23785215083584754,0.0010077962999790423,0.12795661916857773,0.0,1.5629204117499367,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.8,-0.02726746426748594,0.02219157235051261,4.649,0.02,-0.01,-0.69,1.5737118912537136,0.0,0.0,0.0,63.757,-2.0597191807752653,0.05827161816449078,0.21825667632835,-2.0655965498210023,0.06744592496911733,0.19720729364253797,0.0020503240093139243,0.13408752393976822,0.0,1.5555065804100845,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
63.9,-0.027267464875243563,0.02219157239379177,4.716,0.02,-0.01,-0.6,1.568342554909412,0.0,0.0,0.0,63.856,-2.141442507552595,0.047289741541850894,0.08987662733643464,-2.1202828365618807,0.05787815037841165,0.11116228474869394,-0.005379801089110058,0.0978441086766689,0.0,1.6257244120628187,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
64.001,-0.027267465066280305,0.02219157272987271,4.772,0.02,-0.01,-0.51,1.5687282924216728,0.0,0.0,0.0,63.955,-2.1122309687625456,0.05820775083174251,0.10574489911284424,-2.11323151155033,0.06526189942817445,0.09602041481424961,-0.00328289382714938,0.10871761730488909,0.0,1.6009836749035478,-1.7250201742608757e-17,9.441788108184485e-34,0.0,-5.982648403329853e-19,6.110437224421672e-35,0.0,-1.021359908267498e-16
64.101,-0.027267465240435662,0.022191573117148256,4.821,0.02,-0.01,-0.42,1.5847247336667518,0.0,0.0,0.0,64.054,-2.1005366149523708,0.0682375216575653,0.09437433562394837,-2.1011552302059293,0.07555614292898716,0.09135735819759239,0.00014847632304460976,0.12391155381517936,0.0,1.5695980829878189,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
64.202,-0.027267465075392572,0.022191573196265413,4.86,0.02,-0.01,-0.32,1.585775923044656,0.0,0.0,0.0,64.153,-2.088781853328896,0.060314151199080096,0.12431937275304161,-2.0977273796748115,0.06694223040779301,0.10638777764725349,-0.0010231392796570375,0.08593109683422193,0.0,1.5827022720584636,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
64.3,-0.027267465508994837,0.02219157285226947,4.888,0.02,-0.01,-0.21,1.5823115222763757,0.0,0.0,0.0,64.252,-2.076276036198513,0.05960523025320419,0.2495025854317463,-2.0926407523431863,0.06479729724750355,0.19039432674877732,-9.066754624640688e-05,0.07483506104621832,0.0,1.5720078912757103,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
64.401,-0.027267465387712297,0.02219157319230769,4.904,0.02,-0.01,-0.11,1.5806881683554987,0.0,0.0,0.0,64.351,-2.0843167262704174,0.04399733306786606,0.2048666823385643,-2.0989802355617186,0.05200014900827826,0.1617028846618429,-0.00031618589555803693,0.02875337316746538,0.0,1.5817923636762166,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
64.502,-0.027267465387712297,0.02219157319230769,4.908,0.01,-0.01,-0.01,1.579523539231394,0.0,0.0,0.0,64.45,-2.1025218075192114,0.06149318643723452,0.09776378412422293,-2.1018367422932513,0.06375839838996189,0.10634598711358478,0.00010849027380316227,0.05893668568491632,0.0,1.5689555352742657,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
