timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,quad_true_x,quad_true_y,quad_true_z,quad_true_vx,quad_true_vy,quad_true_vz,landing_pad_raw_stamp,landing_pad_x_raw,landing_pad_y_raw,landing_pad_z_raw,landing_pad_yaw_raw,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz,landing_pad_true_yaw,measure_lag,sigma_px,sigma_py,sigma_pz,sigma_v,sigma_a,sigma_yaw,sigma_yaw_rate,covar_trace,covar_det_log,covar_max_eig
56.401,-3.709798787610019e-10,-6.039895771026149e-10,0.036,0.0,0.0,0.0,1.539405518272195,0.000361962838565017,0.00037831764481204656,-0.002401908400042685,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
56.5,-3.709798787610019e-10,-6.039895771026149e-10,0.037,0.0,0.0,0.0,1.5394849973407128,0.00031792024436572066,0.0003890727558667223,-0.002418105261009366,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
56.6,-3.709798787610019e-10,-6.039895771026149e-10,0.037,0.0,-0.01,0.0,1.5395554854210953,0.0003502959190055679,0.0003857891428191911,-0.0024414637587011853,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
56.7,-3.709798787610019e-10,-6.039895771026149e-10,0.039,0.01,-0.01,0.0,1.5396346608784537,0.0002801485233815116,0.00040542751619110937,-0.002458701458511954,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
56.8,-1.7639827272486475e-10,-2.435958171287389e-10,0.04,0.01,-0.01,0.0,1.539710289859448,0.000351729161508332,0.0003674225540791327,-0.0023894348338065773,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
56.9,-1.7639827272486475e-10,-2.435958171287389e-10,0.041,0.01,-0.01,0.0,1.5398253920164444,0.00036671220941257793,0.00034078464378180945,-0.0008038307659496674,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.0,-1.7639827272486475e-10,-2.435958171287389e-10,0.042,0.01,-0.01,0.0,1.5398963494834048,0.0003442110879546191,0.00036243091081505067,-0.00243055092776523,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.1,-1.7639827272486475e-10,-2.435958171287389e-10,0.042,0.01,-0.01,0.0,1.5399764525380473,0.0003044382161089637,0.0003563852458320975,-0.002376668290325069,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.2,-1.7639827272486475e-10,-2.435958171287389e-10,0.043,0.01,-0.01,0.0,1.5400561122831444,0.00035293348048206244,0.00040874550409271794,-0.002441520332832002,0.00020566419087747787,-299.9992931865202,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,-0.0,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.3,-1.7639827272486475e-10,-2.435958171287389e-10,0.046,0.01,-0.01,-0.05,1.540155871832047,-0.019159283708094575,-0.004673960737244948,-0.0017122097573886632,0.00023067324104590912,-299.9992609463904,0.0,-5.301319401312588e-07,0.000674969896991652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.05,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.4,-4.591790177255195e-10,-7.257874856669844e-10,0.056,0.01,-0.01,-0.12,1.5401603384551148,-0.017143415241141026,-0.003434151575663632,-0.0018731045243194659,0.0002749767263895805,-299.9991006108752,0.0,-1.7015357513998698e-06,0.0026763452297892754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.12,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.502,-4.698554358084639e-10,-2.465857448785691e-10,0.079,0.01,0.0,-0.23,1.5401530424740653,0.0,0.0,0.0,0.00031776702185434553,-299.99851115731735,0.0,-3.842302782834732e-06,0.007011857389283146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.23,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.6,-5.580545678340876e-10,-3.683836569123855e-10,0.099,0.01,0.0,-0.3,1.54011453414825,0.0031077859510563626,-0.0013823719366760742,-0.0069135265882625495,0.00031364883631542054,-299.99780565892934,0.0,-4.524609761491332e-06,0.010228072395103363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.3,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.704,-5.398712379922621e-10,-6.31319385657747e-10,0.145,0.01,0.0,-0.42,1.5401120605554919,0.0,0.0,0.0,0.00022111696459401888,-299.9962901319316,0.0,-5.109123223074638e-06,0.01454829907680507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.42,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.8,-3.5596604830434586e-10,-1.714575564859544e-10,0.178,0.01,0.0,-0.49,1.540176120647464,0.009548237664941237,-0.001603447272957999,-0.0008122248230680562,8.190220708678722e-05,-299.995021619808,0.0,-5.232502654526932e-06,0.01681827614676888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.49,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
57.9,-1.4320111763055365e-10,-7.399951484909906e-11,0.232,0.01,0.0,-0.59,1.5401721643891673,0.010129751415060086,-0.0026989631336789095,-0.006920510917325073,-0.00020242376444531157,-299.9932188762725,0.0,-5.376950661021536e-06,0.018877144531433965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.59,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
58.0,-3.302757928258515e-10,-2.1812723849379267e-10,0.296,0.01,0.0,-0.69,1.5402406557139496,0.006442150110681435,-0.0004406778487400916,0.0019832139456930037,-0.0006270384296631236,-299.99125484415464,0.0,-4.336600807143187e-06,0.020135216891642615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.69,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
58.1,-6.055496382106895e-10,-4.840529088667722e-10,0.37,0.01,0.0,-0.79,1.5402047644045689,0.0051445181331678256,-0.0008235804485137138,-0.0021131360175234114,-0.001208828149995642,-299.98920755927594,0.0,-1.8621322449290645e-06,0.02067221648935241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.79,0.0,-2.0,-300.0,0.0,0.0,0.0,0.0,1.5707963267948963,0.0,0.3872983346207417,0.3872983346207417,0.3872983346207417,0.7071067811865476,1.224744871391589,0.3872983346207417,0.7071067811865476,3.1,-8.56930919255525,1.5
