timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz,landing_pad_true_yaw
54.39,0.0,0.0,0.007,0.0,0.0,0.0,1.5378343510117867,0.00031723993031084987,0.00041249916256762417,-0.002712225771445955,1.4635592438472075e-09,133.97751490537894,6.925096345447704e-16,2.1779651984786966e-13,-3.948887481928195e-26,0.0,3.141592653589612,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.421,0.0,0.0,0.007,0.0,0.0,0.0,1.5378634939577918,0.0,0.0,0.0,1.4637930081272595e-09,129.97497918184973,1.8408238586868435e-15,-2.3273721684107393e-13,4.251125134290035e-26,0.0,-1.8265772840245584e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.454,0.0,0.0,0.007,0.0,0.0,0.0,1.5378694506969788,0.00024031472298059072,0.00036654304774860015,-0.002606616287220748,1.4632096619214623e-09,125.53981531041079,4.62107775382489e-15,2.5261164318652315e-13,-4.624996327293673e-26,0.0,3.14159265358961,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.48,0.0,0.0,0.007,0.0,0.0,0.0,1.5378976660456996,0.0002746810553293717,0.00034153145427297894,-0.0026979501817644314,1.4625112396298496e-09,121.91832532814364,5.441414982195622e-15,-2.44726594260014e-13,4.500441123639374e-26,0.0,-1.83896692439474e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.51,0.0,0.0,0.007,0.0,0.0,0.0,1.5379400039699413,0.0,0.0,0.0,1.4616055389411553e-09,117.78628231094153,5.4225673720801826e-15,2.7346286341299925e-13,-5.079620664145767e-26,0.0,3.1415926535896075,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.54,0.0,0.0,0.007,0.0,0.0,0.0,1.5379506471243245,0.0002946028367425674,0.0004097875253174294,-0.0026752721810174443,1.4608240980704225e-09,113.59097968625966,7.794250016783523e-15,-2.4310265615832297e-13,4.583767562956059e-26,0.0,-1.8855275525952444e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.57,0.0,0.0,0.007,0.0,0.0,0.0,1.537984632947717,0.0,0.0,0.0,1.4603494110939142e-09,109.68415196846708,7.158455646290577e-15,3.0394045589890406e-13,-5.807719303833801e-26,0.0,3.141592653589602,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.6,0.0,0.0,0.007,0.0,-0.01,0.0,1.538009421029363,0.0002813181268432891,0.0003499745765960873,-0.0027481078676410866,1.459810647936672e-09,106.05737753214201,6.003214595592648e-15,-3.4540307131019364e-13,6.670902264543806e-26,0.0,-1.9313384328748245e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.63,0.0,0.0,0.007,0.0,-0.01,0.0,1.5380367013302187,0.0003402275101271444,0.0003550959848741952,-0.00263303127505852,1.458817500609924e-09,102.65934146531113,3.156422686316655e-15,3.605297471650572e-13,-6.985096571813058e-26,0.0,3.1415926535895995,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.661,0.0,0.0,0.007,0.0,-0.01,0.0,1.5380811328676083,0.0,0.0,0.0,1.4584426998885869e-09,99.4848488732019,1.983626062384042e-15,-3.7592371173420554e-13,7.285604513926676e-26,0.0,-1.9380539951355651e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.69,0.0,0.0,0.007,0.0,-0.01,0.0,1.5380909490075447,0.00031047612604890765,0.00039397469744822657,-0.00330437709224137,1.4579905502598119e-09,96.85170577400112,6.616757868625409e-16,3.6585431632817195e-13,-7.185740801396299e-26,0.0,3.141592653589597,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.72,0.0,0.0,0.007,0.0,-0.01,0.0,1.5381011041488986,0.0002741403444309674,0.00040550417169352956,-0.003029489857374183,1.457378043064222e-09,94.69358375271733,3.67394022521043e-15,-3.51932947285835e-13,7.003960198555952e-26,0.0,-1.9901405232365e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.751,0.0,0.0,0.008,0.0,-0.01,0.0,1.5381078841772418,0.0004414412048522736,0.00031807044909514345,-0.0028578711179914553,1.4919445908748582e-09,93.05552470099462,7.938419717421054e-16,3.93182549978596e-13,-7.932024106299085e-26,0.0,3.1415926535895915,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.78,0.0,0.0,0.008,0.0,-0.01,0.0,1.5381410653379304,0.00038025954032974154,0.0003363273439563616,-0.0025861884743956223,1.4983357983513975e-09,92.026884710242,3.0549648349887336e-15,-4.097501003996186e-13,8.375361679829159e-26,0.0,-2.04401699271358e-13,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
54.811,0.0,0.0,0.009,0.01,-0.01,0.0,1.5381886708226542,0.0,0.0,0.0,2.367407670095445e-09,91.34201799964116,4.291105821803693e-15,4.223202134444181e-13,-8.651127811008429e-26,0.0,3.1415926535895884,-4.67800760269165,-0.02887713722884655,0.0,-0.0,-0.0,0.0,-3.1308099999307957
