timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz,landing_pad_true_yaw
576.9,8.910768607359176e-11,1.3511267191873566e-10,0.019,-0.01,0.0,0.0,1.5891414909299948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.39161752933335,4.370336417932988,0.0,-2.9996432612008044,-0.03261148285792391,0.0,-3.1307212948103804
577.0,-2.9914697975697013e-10,1.8715060230711789e-10,0.021,-0.01,0.01,0.0,1.5891254479673245,-0.0003129126366857541,-0.00029762112724503263,0.0007747029664280406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.692238957500147,4.376097044246887,0.0,-2.986524144687071,-0.28212871573435044,0.0,-3.0474049213861774
577.101,-2.9914697975697013e-10,1.8715060230711789e-10,0.022,-0.01,0.01,0.0,1.5891165203091244,-0.0003666367865191488,-0.0002732912061609043,0.0006955550787907988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.052057567697952,4.349968746891414,0.0,-2.9434498765456336,-0.5788142530787604,0.0,-2.9474252732768313
577.2,-2.9914697975697013e-10,1.8715060230711789e-10,0.024,-0.01,0.01,0.0,1.5890924493458607,-0.0003285631470473542,-0.00033041802427011876,0.000693673974876858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.289709940000001,4.312638926767601,0.0,-2.898362706963096,-0.7735738064142506,0.0,-2.8807721745370527
577.3,-2.9914697975697013e-10,1.8715060230711789e-10,0.025,-0.01,0.01,0.0,1.589082631343279,-0.0003630261599697501,-0.00023364969805209998,0.0007809998428074602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.582414477550995,4.243860430232487,0.0,-2.8239320916753186,-1.0120922400123673,0.0,-2.7974558011120703
577.4,-2.9914697975697013e-10,1.8715060230711789e-10,0.026,-0.01,0.01,0.0,1.5890725209054093,-0.00036071520519631865,-0.00031410167045670557,0.000649250110106301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.868379933566651,4.150961636621703,0.0,-2.7299100716184466,-1.2435891513587283,0.0,-2.714139427686858
577.5,-2.9914697975697013e-10,1.8715060230711789e-10,0.026,-0.01,0.01,0.0,1.589053404578243,-0.0004147948728290902,-0.0002299559890940157,0.0007039016210504942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.145622393097061,4.034587040931322,0.0,-2.6169490433504508,-1.4664585426864265,0.0,-2.63082305426138
577.6,-2.9914697975697013e-10,1.8715060230711789e-10,0.028,-0.01,0.01,0.0,1.5890347185221056,-0.00043579158716347316,-0.0003213845502533588,0.0006815195591821567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.412218457883337,3.895544003964183,0.0,-2.485832670512823,-1.6791542322502706,0.0,-2.5475066808356552
577.7,-2.100392932496975e-10,-5.748307038699885e-11,0.03,-0.01,0.01,0.0,1.5890158722784855,-0.0004045059618734872,0.0009640891213249838,0.000310600013831457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.666318590132035,3.734797151180782,0.0,-2.337470547370494,-1.8802005940391127,0.0,-2.4641903074096714
577.8,-2.100392932496975e-10,-5.748307038699885e-11,0.036,-0.01,0.01,-0.06,1.5890841605749468,0.018014718052690747,0.03295201665532376,0.0022135573855922522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.906159943875065,3.553461680510307,0.0,-2.172892022776853,-2.0682029035601976,0.0,-2.3808739339833913
