timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_lpx,landing_pad_lpy,landing_pad_lpz,landing_pad_lpvx,landing_pad_lpvy,landing_pad_lpvz
1771247454.642824,0.0,0.0,0.008,0.0,0.0,0.0,1.5622327738117914,0.0003204372623715018,0.0004189487779404308,-0.0008211532406640887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.6926396,0.0,0.0,0.008,0.0,0.0,0.0,1.5622205287825803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.7259912,0.0,0.0,0.008,0.0,0.0,0.0,1.5622184696283679,0.0003954002374704945,0.00046083612136150185,-0.000775016795679202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.7614505,0.0,0.0,0.008,0.0,0.0,0.0,1.5622149631988742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.8021383,0.0,0.0,0.008,0.0,0.0,0.0,1.5622108542036752,0.00038388861967684286,0.0003586733307230134,-0.0007678216516832907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.840321,0.0,0.0,0.008,0.0,0.0,0.0,1.5622054525327425,0.00030584349671306714,0.00038390484800194646,-0.0007743851021417686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.882164,0.0,0.0,0.008,0.0,0.0,0.0,1.5621997630831341,0.00027130152989364545,0.00044196441136594943,-0.0007929962221166155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.9311597,0.0,0.0,0.008,0.0,0.0,0.0,1.5621975381535032,0.00029129717585578375,0.0003576249023748056,-0.0007933109909511633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247454.9582922,0.0,0.0,0.008,0.0,0.0,0.0,1.5621954966944196,0.0002917794463284994,0.0004126220099623266,-0.000730915797173112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1771247455.0029788,0.0,0.0,0.008,0.0,0.0,0.0,1.5621913727980594,0.0003800604476552014,0.00031419536470934516,-0.0007692894235072494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
