timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_lpx,landing_pad_lpy,landing_pad_lpz,landing_pad_lpvx,landing_pad_lpvy,landing_pad_lpvz,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz
239.16,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06906814972427874,0.0003957414687263576,-0.0001376006318975063,-0.0006880856112332697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9987045614293596,0.6633095160332312,0.0,-1.8958490728047661,-2.324981852917502,0.0
239.19,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06905801693466693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0764512161386341,0.5718390604107051,0.0,-1.8568458883865677,-2.3562487122831897,0.0
239.223,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06905336777237463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1526629505402357,0.4790858496318923,0.0,-1.817327078981509,-2.3868612686458595,0.0
239.251,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06904657284287019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.190186593059881,0.4322362453719226,0.0,-1.7973777819149426,-2.4019195756632215,0.0
239.28,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06904263893631496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2273186038133033,0.3850756373959456,0.0,-1.7773037055194754,-2.4168111344735763,0.0
239.31,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06903250614670281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3003974471958257,0.2898345264188599,0.0,-1.7367868297270463,-2.4460899264800777,0.0
239.34,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06903024117020162,0.00030953364865195156,-0.00025173561299746144,-0.0006610438917867327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3363392069999642,0.24176063465382594,0.0,-1.716346849056979,-2.460475135857186,0.0
239.37,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06902451912430344,0.00032336045409664063,-0.00017599406683831283,-0.0008894521469787551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4070149283806774,0.144722863772666,0.0,-1.6751108869349447,-2.4887321753891,0.0
239.4,3.588392603892654e-11,6.49971687582962e-10,0.02,-0.01,-0.01,0.0,0.06901379028824381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4417439839468953,0.09576572060912995,0.0,-1.6543178019138423,-2.5026020953171413,0.0
239.431,3.588392603892654e-11,6.49971687582962e-10,0.02,-0.01,-0.01,0.0,0.0690092603352407,0.00028869508533246267,-0.00024481894229019764,-0.0007058635623378932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5099724312759077,-0.0030080894082370616,0.0,-1.6123885055812492,-2.5298197186854803,0.0
239.46,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06900341908005267,0.0003699974647853071,-0.00026789347560630613,-0.0006437919609092323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.543467086907773,-0.05281789980094765,0.0,-1.5912552482031113,-2.543165598137176,0.0
239.49,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06899340549973029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6092056369793526,-0.15326604366016963,0.0,-1.5486588236249905,-2.5693268195171486,0.0
239.521,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.0690023461964468,0.00029910904273279347,-0.00027196758360036207,0.0001779940936842758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6732613430547436,-0.2547956112228144,0.0,-1.5056324066732254,-2.5947746548946617,0.0
239.553,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06898255745438109,0.00035202793312946485,-0.00019958357222250677,-0.0016054980615245276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.704652553206197,-0.3059571308687944,0.0,-1.4839616887152751,-2.607228852957102,0.0
239.58,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.0689734975483755,0.00030224526333947965,-0.0002412208194707435,-0.0009614030499658555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7356164195352886,-0.357378411961456,0.0,-1.4621879423761208,-2.6195020366564377,0.0
239.612,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06896336475876362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7962535530162516,-0.46098596290967436,0.0,-1.4183375028953829,-2.6435021175065785,0.0
239.641,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06896026531723547,0.00030725160910310246,-0.00023109738215599965,-0.0006861959245914048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8551559070940313,-0.5655894965706679,0.0,-1.3740932216654895,-2.6667681552566602,0.0
239.67,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.0689581195500233,0.0003732439792537664,-0.00023805371428358785,-0.0006473129575219912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8839514120637741,-0.6182556912385259,0.0,-1.3518272404643619,-2.678123909338535,0.0
239.7,-5.958074788744994e-11,-4.658471481830406e-10,0.019,-0.01,-0.01,0.0,0.06894810596970141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9123071270409535,-0.6711599689048035,0.0,-1.3294674156647697,-2.689293748236103,0.0
239.73,-5.958074788744994e-11,-4.658471481830406e-10,0.018,-0.01,-0.01,0.0,0.06894679466751591,0.0002771086624970748,-0.00024227046712724004,-0.0005024799728986771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9676913443462527,-0.7776680673938643,0.0,-1.2844724856643166,-2.711072663998718,0.0
239.76,-5.958074788744994e-11,-4.658471481830406e-10,0.018,-0.01,-0.01,0.0,0.06894023815659084,0.00035056576406498294,-0.0002717642263264074,-0.0006859726467012597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9947160021357089,-0.8312644948738712,0.0,-1.2618404928414708,-2.72168020708794,0.0
239.79,-5.958074788744994e-11,-4.658471481830406e-10,0.017,-0.01,-0.01,0.0,0.06893058220413698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0474210364298933,-0.9391235043738921,0.0,-1.2163152998201874,-2.7423277663363597,0.0
239.82,-5.958074788744994e-11,-4.658471481830406e-10,0.017,-0.01,-0.01,0.0,0.06892521778610756,0.00030905680125565757,-0.00018344123494499085,-0.0007329332839581278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.073097754373531,-0.9933785992765705,0.0,-1.1934252805595058,-2.752366396164842,0.0
239.852,-5.958074788744994e-11,-4.658471481830406e-10,0.017,-0.01,-0.01,0.0,0.0689203302052358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1230906801305633,-1.1025211388499687,0.0,-1.1473982725236804,-2.7718697151496396,0.0
