timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_lpx,landing_pad_lpy,landing_pad_lpz,landing_pad_lpvx,landing_pad_lpvy,landing_pad_lpvz,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz
228.0,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020463987192835605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.808827183092152,-2.8914810639594997,0.0,1.8419636635087657,-0.7791268781091628,0.0
228.03,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.02046768268081179,0.00023568668366632291,-0.0002565895610156924,-0.0008880893650399307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.73609405878799,-2.924940765089637,0.0,1.8546901599304257,-0.7483269977103909,0.0
228.061,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020469828448023503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.662813509678124,-2.957183905335584,0.0,1.866901660549263,-0.7173193277537178,0.0
228.095,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020467921099390496,0.0002769104185204974,-0.0002651459317754445,-0.0008031151490275578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.625974303458047,-2.9728464541847903,0.0,1.8728132537118143,-0.701740272235919,0.0
228.121,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020471616587366792,0.00026960721087560175,-0.0002600481502345434,-0.0008548794991403584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.551910813616079,-3.0032480732731175,0.0,1.8842459938419842,-0.6704370966305718,0.0
228.15,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020476981005396324,0.00022379201209662432,-0.00016162208210366595,-0.0009030765668492806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.514691671167036,-3.017985033160995,0.0,1.889766362434223,-0.6547151554462847,0.0
228.18,4.640825050639119e-11,1.002060856167275e-10,0.018,-0.01,-0.01,0.0,-0.02046625216933714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.477351038954742,-3.032411388811873,0.0,1.8951555720434103,-0.6389477737687724,0.0
228.211,4.640825050639119e-11,1.002060856167275e-10,0.018,-0.01,-0.01,0.0,-0.02046696742507394,0.0003483587194110068,-0.00026578179387459636,-0.0007861090349768746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.402315681606037,-3.0603283033676627,0.0,1.9055389247907422,-0.6072810351573538,0.0
228.24,4.640825050639119e-11,1.002060856167275e-10,0.018,-0.01,-0.01,0.0,-0.020476265749659255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.364626165105383,-3.073816924398959,0.0,1.9105323861856411,-0.591383889220438,0.0
228.27,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020473881563868004,0.0003275359877328307,-0.00020232327903565964,-0.0009075332884921902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.28891653750048,-3.0998498124195066,0.0,1.9201210699810738,-0.5594675377366923,0.0
228.3,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020454569658960923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.250901681836972,-3.112392272316256,0.0,1.9247156562680836,-0.5434505567115238,0.0
228.331,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.02043501933547461,0.00034116755084315366,-0.0002518013988073724,8.459080216770954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.174565080753583,-3.136524870721718,0.0,1.933503684019144,-0.5113045319502985,0.0
228.36,4.640825050639119e-11,1.002060856167275e-10,0.017,-0.01,-0.01,0.0,-0.020471378168787604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.136248634296274,-3.148113334047965,0.0,1.9376965420010808,-0.49517772676677063,0.0
