timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_raw_stamp,landing_pad_x_raw,landing_pad_y_raw,landing_pad_z_raw,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz,landing_pad_true_yaw
59.001,4.376008062856318e-11,-2.609213071297356e-10,0.027,0.0,0.0,0.0,1.5402899003264048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.106,4.376008062856318e-11,-2.609213071297356e-10,0.026,0.0,0.0,0.0,1.5403689323600869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.2,4.376008062856318e-11,-2.609213071297356e-10,0.025,0.0,0.0,0.0,1.5404253109034638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.304,4.376008062856318e-11,-2.609213071297356e-10,0.025,0.01,-0.01,0.0,1.5404616976764538,0.00034717301918366983,0.0003818246393114267,-0.0021690202132532595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.4,4.376008062856318e-11,-2.609213071297356e-10,0.025,0.01,-0.01,0.0,1.540519089498792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.5,4.376008062856318e-11,-2.609213071297356e-10,0.025,0.01,-0.01,0.0,1.5405931873854737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.6,4.376008062856318e-11,-2.609213071297356e-10,0.024,0.01,-0.01,0.0,1.540665808194552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.7,4.376008062856318e-11,-2.609213071297356e-10,0.024,0.01,-0.01,0.0,1.5407356611129384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.801,4.376008062856318e-11,-2.609213071297356e-10,0.024,0.01,-0.01,0.0,1.54080526629952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
59.9,4.376008062856318e-11,-2.609213071297356e-10,0.027,0.01,-0.01,-0.05,1.5409215232965092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.023,1.650428786692526e-10,7.911720931175203e-11,0.041,0.01,0.0,-0.15,1.5408734223481755,-0.015535351597319544,-0.004009516852491011,-0.0033089417335765417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.1,-2.516780707451094e-10,-2.1368462208015693e-10,0.055,0.01,0.0,-0.22,1.5409644758936503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.2,2.5256303992637896e-10,-6.297905946750504e-11,0.082,0.01,0.0,-0.31,1.541012101867471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.3,-4.287511318201709e-11,-1.574237962209679e-11,0.118,0.01,0.0,-0.4,1.5410151566055157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.401,1.0528644622809225e-10,1.2180603747857788e-11,0.163,0.01,0.0,-0.5,1.5409755493190627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.5,-6.886889669655005e-11,1.9709456289263017e-11,0.217,0.01,0.0,-0.6,1.5410743402924874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.601,-2.767868989561606e-10,-7.515010835845715e-11,0.281,0.01,0.0,-0.7,1.5409374936160187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.7,-2.71869055046281e-10,0.011095777720099426,0.356,0.01,0.0,-0.8,1.5410525045034031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.8,1.1885811779244193e-10,0.011095778428099473,0.44,0.01,0.0,-0.9,1.5410744501885514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
60.903,-4.52997916955411e-11,0.011095778072318568,0.534,0.0,0.0,-1.01,1.5409643138435223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.011,-7.129358214896797e-11,0.01109577848751675,0.638,0.0,0.0,-1.11,1.5409745490786173,0.0018775869198193894,0.0012259470641301207,-0.007749076519380076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.101,-5.3527293708555135e-11,0.011095778641793563,0.753,0.0,0.0,-1.22,1.541062275939856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.203,-3.57610052681423e-11,0.011095778796070488,0.879,0.0,0.0,-1.32,1.5410927022483687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
61.3,1.032881002949182e-10,0.01109577929038591,1.016,0.0,0.0,-1.43,1.5410897089776137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.624095593485096e-19,0.0,0.0,0.0,0.0,1.5707963267948963
